epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,3.342311,3.342311,0.000000,78.850000,80.350000,1.218664,41.816667,62.366667,72.666667,78.850000,41.816667,48.833333,55.000000,60.766667,62.366667,69.333333,74.966667,79.400000,72.666667,78.850000,83.183333,86.650000,78.850000,84.233333,87.816667,90.683333,4.975001,19.674500,43.200000,63.533333,73.933333,79.550000,43.216667,51.000000,57.350000,62.500000,63.533333,70.916667,76.583333,80.916667,73.933333,80.350000,85.100000,88.016667,79.550000,85.383333,89.183333,91.550000,4.744396,19.750047
2,1.658752,1.658752,0.000000,85.350000,85.950000,1.230537,49.750000,70.683333,80.150000,85.216667,49.750000,58.816667,66.083333,71.866667,70.683333,77.450000,82.783333,86.283333,80.150000,85.350000,88.866667,91.166667,85.216667,89.583333,91.966667,93.816667,3.332829,17.076291,51.583333,71.300000,80.016667,85.133333,51.583333,60.033333,67.100000,72.300000,71.300000,78.483333,83.366667,86.633333,80.016667,85.950000,89.716667,92.016667,85.133333,90.116667,92.633333,94.366667,3.285357,16.561078
3,1.425706,1.425706,0.000000,89.200000,89.566667,1.214132,54.350000,76.050000,84.700000,89.466667,54.350000,63.800000,71.150000,76.366667,76.050000,82.733333,87.283333,90.166667,84.700000,89.200000,91.950000,93.850000,89.466667,92.650000,94.433333,95.733333,2.675889,15.666783,55.933333,76.366667,84.316667,89.300000,55.933333,65.616667,72.533333,77.450000,76.366667,83.716667,88.316667,91.033333,84.316667,89.566667,92.600000,94.650000,89.300000,93.350000,95.366667,96.616667,2.561008,14.990281
4,1.293633,1.293633,0.000000,89.516667,90.733333,1.207931,54.800000,75.983333,84.883333,90.100000,54.800000,63.850000,70.633333,75.400000,75.983333,82.383333,86.766667,89.600000,84.883333,89.516667,92.316667,94.050000,90.100000,93.033333,94.800000,95.933333,2.758784,15.357171,55.350000,76.916667,85.750000,90.216667,55.350000,65.033333,71.766667,76.733333,76.916667,84.083333,88.183333,90.683333,85.750000,90.733333,93.500000,95.200000,90.216667,93.650000,95.650000,96.766667,2.678370,15.299075
5,1.250870,1.250870,0.000000,90.866667,91.350000,1.224228,57.633333,78.616667,86.816667,91.266667,57.633333,66.716667,73.433333,78.016667,78.616667,84.666667,88.783333,91.150000,86.816667,90.866667,93.450000,94.966667,91.266667,93.800000,95.383333,96.483333,2.443848,14.224617,58.616667,79.016667,86.833333,91.183333,58.616667,68.266667,74.500000,78.933333,79.016667,85.700000,89.400000,91.616667,86.833333,91.350000,93.766667,95.450000,91.183333,94.366667,96.150000,97.133333,2.436041,14.579564
6,1.189647,1.189647,0.000000,91.133333,91.866667,1.217051,59.416667,79.316667,87.233333,91.416667,59.416667,68.650000,75.266667,79.850000,79.316667,85.466667,89.050000,91.366667,87.233333,91.133333,93.600000,95.050000,91.416667,93.950000,95.583333,96.583333,2.213005,13.408404,60.050000,79.550000,87.600000,91.466667,60.066667,70.000000,76.433333,80.833333,79.550000,86.200000,89.800000,92.083333,87.600000,91.866667,94.250000,95.683333,91.466667,94.583333,96.283333,97.283333,2.126711,13.440263
7,1.135524,1.135524,0.000000,91.000000,92.166667,1.226829,59.783333,79.300000,87.316667,91.516667,59.783333,68.966667,75.366667,79.950000,79.300000,85.316667,88.750000,91.100000,87.316667,91.000000,93.400000,94.950000,91.516667,93.966667,95.683333,96.700000,2.202212,13.270239,60.333333,79.983333,88.050000,91.616667,60.333333,70.433333,76.583333,80.866667,79.983333,86.283333,89.883333,92.183333,88.050000,92.166667,94.400000,95.966667,91.616667,94.700000,96.383333,97.433333,2.132959,13.558641
8,1.096681,1.096681,0.000000,91.616667,92.166667,1.205369,63.016667,80.383333,88.000000,91.566667,63.016667,72.250000,78.233333,82.133333,80.383333,86.083333,89.750000,92.033333,88.000000,91.616667,93.783333,95.416667,91.566667,94.100000,95.633333,96.783333,2.081397,13.343719,63.366667,81.283333,88.300000,91.916667,63.366667,73.266667,79.600000,83.166667,81.283333,87.283333,90.900000,92.900000,88.300000,92.166667,94.483333,95.800000,91.916667,94.783333,96.333333,97.216667,1.931329,12.623810
9,1.078072,1.078072,0.000000,91.733333,92.200000,1.246090,61.516667,80.816667,88.250000,91.516667,61.516667,70.966667,77.233333,81.816667,80.816667,86.016667,89.600000,92.200000,88.250000,91.733333,93.850000,95.416667,91.516667,93.966667,95.533333,96.816667,2.079220,13.075544,61.583333,81.033333,88.283333,91.950000,61.583333,71.683333,78.833333,82.883333,81.033333,86.983333,90.700000,92.816667,88.283333,92.200000,94.416667,95.800000,91.950000,94.666667,96.183333,97.066667,1.955492,12.623810
10,1.075220,1.075220,0.000000,91.700000,92.300000,1.231928,61.433333,80.516667,88.183333,91.766667,61.433333,71.083333,77.766667,82.533333,80.516667,85.766667,89.300000,91.833333,88.183333,91.700000,93.833333,95.416667,91.766667,94.350000,95.733333,96.883333,1.997088,12.677994,62.166667,80.850000,88.383333,92.216667,62.166667,72.416667,79.533333,83.683333,80.850000,86.816667,90.683333,92.883333,88.383333,92.300000,94.533333,95.916667,92.216667,94.883333,96.350000,97.383333,1.834406,11.892530
11,1.101202,1.101202,0.000000,91.250000,91.700000,1.218459,60.000000,79.150000,87.683333,91.366667,60.000000,69.100000,75.366667,80.216667,79.150000,84.966667,88.816667,91.500000,87.683333,91.250000,93.566667,95.266667,91.366667,93.866667,95.566667,96.800000,2.196208,13.604000,60.483333,79.666667,87.633333,91.533333,60.483333,70.516667,77.666667,82.000000,79.666667,85.950000,90.033333,92.400000,87.633333,91.700000,94.150000,95.700000,91.533333,94.516667,96.150000,97.166667,2.053300,13.137120
12,1.050351,1.050351,0.000000,92.500000,92.800000,1.207373,63.833333,82.333333,89.066667,92.683333,63.833333,73.083333,79.133333,83.300000,82.333333,87.433333,90.533333,92.683333,89.066667,92.500000,94.416667,95.833333,92.683333,94.833333,96.233333,97.283333,1.948761,12.639513,64.650000,82.233333,89.333333,92.866667,64.650000,74.683333,81.083333,84.700000,82.233333,87.833333,91.100000,93.233333,89.333333,92.800000,94.866667,96.166667,92.866667,95.533333,96.900000,97.816667,1.766320,11.710723
